data/sac_auto_baseline_train/sac_auto_500_ez/sac_auto_500_ez_s0
Using deterministic action op.
[32;1mLogging data to /tmp/experiments/1579887760/progress.txt[0m
Episode 0 	 EpRet 320.566 	 EpLen 716
Episode 1 	 EpRet 319.722 	 EpLen 715
Episode 2 	 EpRet 320.697 	 EpLen 710
Episode 3 	 EpRet 320.404 	 EpLen 713
Episode 4 	 EpRet 321.334 	 EpLen 711
Episode 5 	 EpRet 321.852 	 EpLen 716
Episode 6 	 EpRet 319.939 	 EpLen 710
Episode 7 	 EpRet 321.033 	 EpLen 716
Episode 8 	 EpRet 321.529 	 EpLen 710
Episode 9 	 EpRet 321.515 	 EpLen 710
Episode 10 	 EpRet 320.435 	 EpLen 718
Episode 11 	 EpRet 321.945 	 EpLen 711
Episode 12 	 EpRet 319.571 	 EpLen 719
Episode 13 	 EpRet 319.864 	 EpLen 722
Episode 14 	 EpRet 321.050 	 EpLen 704
Episode 15 	 EpRet 320.282 	 EpLen 714
Episode 16 	 EpRet 321.467 	 EpLen 715
Episode 17 	 EpRet 320.903 	 EpLen 717
Episode 18 	 EpRet 322.376 	 EpLen 710
Episode 19 	 EpRet 321.583 	 EpLen 711
Episode 20 	 EpRet 321.712 	 EpLen 710
Episode 21 	 EpRet 321.379 	 EpLen 713
Episode 22 	 EpRet 319.512 	 EpLen 719
Episode 23 	 EpRet 319.774 	 EpLen 721
Episode 24 	 EpRet 320.259 	 EpLen 719
Episode 25 	 EpRet 321.440 	 EpLen 717
Episode 26 	 EpRet 320.577 	 EpLen 717
Episode 27 	 EpRet 321.201 	 EpLen 717
Episode 28 	 EpRet 320.806 	 EpLen 710
Episode 29 	 EpRet 320.473 	 EpLen 721
Episode 30 	 EpRet 320.157 	 EpLen 720
Episode 31 	 EpRet 320.958 	 EpLen 717
Episode 32 	 EpRet 321.679 	 EpLen 711
Episode 33 	 EpRet 322.053 	 EpLen 712
Episode 34 	 EpRet 321.334 	 EpLen 714
Episode 35 	 EpRet 321.964 	 EpLen 714
Episode 36 	 EpRet 320.015 	 EpLen 719
Episode 37 	 EpRet 320.075 	 EpLen 716
Episode 38 	 EpRet 319.907 	 EpLen 714
Episode 39 	 EpRet 321.412 	 EpLen 709
Episode 40 	 EpRet 320.413 	 EpLen 714
Episode 41 	 EpRet 320.094 	 EpLen 721
Episode 42 	 EpRet 321.260 	 EpLen 716
Episode 43 	 EpRet 320.573 	 EpLen 712
Episode 44 	 EpRet 321.133 	 EpLen 714
Episode 45 	 EpRet 319.948 	 EpLen 720
Episode 46 	 EpRet 321.732 	 EpLen 708
Episode 47 	 EpRet 321.078 	 EpLen 720
Episode 48 	 EpRet 320.746 	 EpLen 716
Episode 49 	 EpRet 321.732 	 EpLen 716
Episode 50 	 EpRet 320.699 	 EpLen 712
Episode 51 	 EpRet 320.587 	 EpLen 715
Episode 52 	 EpRet 319.391 	 EpLen 714
Episode 53 	 EpRet 320.783 	 EpLen 715
Episode 54 	 EpRet 320.796 	 EpLen 715
Episode 55 	 EpRet 320.903 	 EpLen 708
Episode 56 	 EpRet 321.269 	 EpLen 721
Episode 57 	 EpRet 321.211 	 EpLen 715
Episode 58 	 EpRet 319.793 	 EpLen 718
Episode 59 	 EpRet 320.770 	 EpLen 725
Episode 60 	 EpRet 321.709 	 EpLen 712
Episode 61 	 EpRet 320.699 	 EpLen 712
Episode 62 	 EpRet 321.871 	 EpLen 716
Episode 63 	 EpRet 320.679 	 EpLen 716
Episode 64 	 EpRet 320.190 	 EpLen 721
Episode 65 	 EpRet 320.764 	 EpLen 714
Episode 66 	 EpRet 320.162 	 EpLen 717
Episode 67 	 EpRet 320.094 	 EpLen 724
Episode 68 	 EpRet 318.675 	 EpLen 720
Episode 69 	 EpRet 321.537 	 EpLen 716
Episode 70 	 EpRet 320.842 	 EpLen 713
Episode 71 	 EpRet 321.039 	 EpLen 715
Episode 72 	 EpRet 320.635 	 EpLen 717
Episode 73 	 EpRet 320.036 	 EpLen 719
Episode 74 	 EpRet 320.651 	 EpLen 711
Episode 75 	 EpRet 321.254 	 EpLen 710
Episode 76 	 EpRet 320.954 	 EpLen 708
Episode 77 	 EpRet 320.091 	 EpLen 716
Episode 78 	 EpRet 320.504 	 EpLen 717
Episode 79 	 EpRet 321.126 	 EpLen 712
Episode 80 	 EpRet 320.536 	 EpLen 715
Episode 81 	 EpRet 321.469 	 EpLen 711
Episode 82 	 EpRet 320.019 	 EpLen 717
Episode 83 	 EpRet 320.227 	 EpLen 710
Episode 84 	 EpRet 320.843 	 EpLen 710
Episode 85 	 EpRet 322.191 	 EpLen 708
Episode 86 	 EpRet 320.802 	 EpLen 716
Episode 87 	 EpRet 320.251 	 EpLen 720
Episode 88 	 EpRet 320.636 	 EpLen 717
Episode 89 	 EpRet 320.201 	 EpLen 714
Episode 90 	 EpRet 319.948 	 EpLen 713
Episode 91 	 EpRet 320.794 	 EpLen 714
Episode 92 	 EpRet 321.520 	 EpLen 717
Episode 93 	 EpRet 320.838 	 EpLen 716
Episode 94 	 EpRet 320.551 	 EpLen 723
Episode 95 	 EpRet 320.499 	 EpLen 715
Episode 96 	 EpRet 320.060 	 EpLen 718
Episode 97 	 EpRet 320.888 	 EpLen 715
Episode 98 	 EpRet 320.073 	 EpLen 717
Episode 99 	 EpRet 320.647 	 EpLen 711
Episode 100 	 EpRet 320.832 	 EpLen 716
Episode 101 	 EpRet 322.585 	 EpLen 707
Episode 102 	 EpRet 321.187 	 EpLen 711
Episode 103 	 EpRet 320.709 	 EpLen 718
Episode 104 	 EpRet 320.528 	 EpLen 717
Episode 105 	 EpRet 322.209 	 EpLen 707
Episode 106 	 EpRet 320.443 	 EpLen 713
Episode 107 	 EpRet 321.421 	 EpLen 711
Episode 108 	 EpRet 320.680 	 EpLen 714
Episode 109 	 EpRet 320.367 	 EpLen 715
Episode 110 	 EpRet 321.520 	 EpLen 712
Episode 111 	 EpRet 322.060 	 EpLen 713
Episode 112 	 EpRet 322.072 	 EpLen 701
Episode 113 	 EpRet 320.250 	 EpLen 712
Episode 114 	 EpRet 321.203 	 EpLen 715
Episode 115 	 EpRet 319.986 	 EpLen 715
Episode 116 	 EpRet 320.847 	 EpLen 716
Episode 117 	 EpRet 321.146 	 EpLen 709
Episode 118 	 EpRet 320.846 	 EpLen 715
Episode 119 	 EpRet 320.570 	 EpLen 719
Episode 120 	 EpRet 320.619 	 EpLen 720
Episode 121 	 EpRet 320.077 	 EpLen 718
Episode 122 	 EpRet 321.293 	 EpLen 715
Episode 123 	 EpRet 321.693 	 EpLen 711
Episode 124 	 EpRet 321.424 	 EpLen 713
Episode 125 	 EpRet 321.071 	 EpLen 719
Episode 126 	 EpRet 320.699 	 EpLen 718
Episode 127 	 EpRet 320.127 	 EpLen 713
Episode 128 	 EpRet 320.365 	 EpLen 721
Episode 129 	 EpRet 321.146 	 EpLen 710
Episode 130 	 EpRet 320.794 	 EpLen 719
Episode 131 	 EpRet 321.466 	 EpLen 711
Episode 132 	 EpRet 320.808 	 EpLen 722
Episode 133 	 EpRet 320.534 	 EpLen 713
Episode 134 	 EpRet 321.017 	 EpLen 710
Episode 135 	 EpRet 320.221 	 EpLen 716
Episode 136 	 EpRet 320.910 	 EpLen 715
Episode 137 	 EpRet 319.688 	 EpLen 721
Episode 138 	 EpRet 320.316 	 EpLen 718
Episode 139 	 EpRet 321.202 	 EpLen 714
Episode 140 	 EpRet 321.054 	 EpLen 712
Episode 141 	 EpRet 320.292 	 EpLen 723
Episode 142 	 EpRet 321.899 	 EpLen 715
Episode 143 	 EpRet 321.048 	 EpLen 715
Episode 144 	 EpRet 320.347 	 EpLen 718
Episode 145 	 EpRet 319.626 	 EpLen 717
Episode 146 	 EpRet 319.623 	 EpLen 715
Episode 147 	 EpRet 321.423 	 EpLen 718
Episode 148 	 EpRet 321.058 	 EpLen 714
Episode 149 	 EpRet 320.718 	 EpLen 717
Episode 150 	 EpRet 320.434 	 EpLen 710
Episode 151 	 EpRet 320.069 	 EpLen 718
Episode 152 	 EpRet 321.259 	 EpLen 709
Episode 153 	 EpRet 320.345 	 EpLen 713
Episode 154 	 EpRet 319.563 	 EpLen 718
Episode 155 	 EpRet 320.291 	 EpLen 715
Episode 156 	 EpRet 320.940 	 EpLen 710
Episode 157 	 EpRet 321.747 	 EpLen 711
Episode 158 	 EpRet 320.248 	 EpLen 711
Episode 159 	 EpRet 320.203 	 EpLen 718
Episode 160 	 EpRet 321.095 	 EpLen 714
Episode 161 	 EpRet 320.300 	 EpLen 715
Episode 162 	 EpRet 320.571 	 EpLen 710
