data/sac_auto_baseline_train/sac_auto_500_ez/sac_auto_500_ez_s0
Using deterministic action op.
[32;1mLogging data to /tmp/experiments/1579887683/progress.txt[0m
Episode 0 	 EpRet -56.549 	 EpLen 150
Episode 1 	 EpRet -87.732 	 EpLen 112
Episode 2 	 EpRet -77.828 	 EpLen 132
Episode 3 	 EpRet -87.989 	 EpLen 114
Episode 4 	 EpRet -69.172 	 EpLen 135
Episode 5 	 EpRet -80.789 	 EpLen 115
Episode 6 	 EpRet -83.918 	 EpLen 89
Episode 7 	 EpRet -74.475 	 EpLen 153
Episode 8 	 EpRet -72.126 	 EpLen 136
Episode 9 	 EpRet -66.438 	 EpLen 148
Episode 10 	 EpRet -67.274 	 EpLen 138
Episode 11 	 EpRet -81.789 	 EpLen 101
Episode 12 	 EpRet -100.737 	 EpLen 133
Episode 13 	 EpRet -90.277 	 EpLen 92
Episode 14 	 EpRet -58.249 	 EpLen 161
Episode 15 	 EpRet -68.458 	 EpLen 140
Episode 16 	 EpRet -67.566 	 EpLen 145
Episode 17 	 EpRet -48.732 	 EpLen 156
Episode 18 	 EpRet -88.685 	 EpLen 103
Episode 19 	 EpRet -61.165 	 EpLen 163
Episode 20 	 EpRet -89.611 	 EpLen 96
Episode 21 	 EpRet -81.238 	 EpLen 122
Episode 22 	 EpRet -66.152 	 EpLen 141
Episode 23 	 EpRet -81.846 	 EpLen 102
Episode 24 	 EpRet -72.328 	 EpLen 132
Episode 25 	 EpRet -66.518 	 EpLen 135
Episode 26 	 EpRet -99.383 	 EpLen 127
Episode 27 	 EpRet -55.035 	 EpLen 149
Episode 28 	 EpRet -89.806 	 EpLen 79
Episode 29 	 EpRet -94.454 	 EpLen 72
Episode 30 	 EpRet -86.750 	 EpLen 92
Episode 31 	 EpRet -90.015 	 EpLen 95
Episode 32 	 EpRet -79.328 	 EpLen 103
Episode 33 	 EpRet -76.269 	 EpLen 114
Episode 34 	 EpRet -84.258 	 EpLen 93
Episode 35 	 EpRet -84.799 	 EpLen 101
Episode 36 	 EpRet -85.416 	 EpLen 116
Episode 37 	 EpRet -94.172 	 EpLen 139
Episode 38 	 EpRet -74.465 	 EpLen 132
Episode 39 	 EpRet -72.708 	 EpLen 125
Episode 40 	 EpRet -72.911 	 EpLen 140
Episode 41 	 EpRet -60.873 	 EpLen 159
Episode 42 	 EpRet -68.622 	 EpLen 130
Episode 43 	 EpRet -87.772 	 EpLen 119
Episode 44 	 EpRet -86.036 	 EpLen 93
Episode 45 	 EpRet -80.417 	 EpLen 104
Episode 46 	 EpRet -70.588 	 EpLen 122
Episode 47 	 EpRet -91.564 	 EpLen 98
Episode 48 	 EpRet -64.485 	 EpLen 142
Episode 49 	 EpRet -81.375 	 EpLen 122
Episode 50 	 EpRet -82.893 	 EpLen 101
Episode 51 	 EpRet -87.836 	 EpLen 89
Episode 52 	 EpRet -61.172 	 EpLen 142
Episode 53 	 EpRet -92.227 	 EpLen 125
Episode 54 	 EpRet -66.400 	 EpLen 158
Episode 55 	 EpRet -86.756 	 EpLen 95
Episode 56 	 EpRet -96.108 	 EpLen 130
Episode 57 	 EpRet -84.608 	 EpLen 98
Episode 58 	 EpRet -78.220 	 EpLen 108
Episode 59 	 EpRet -67.759 	 EpLen 145
Episode 60 	 EpRet -90.517 	 EpLen 97
Episode 61 	 EpRet -92.204 	 EpLen 113
Episode 62 	 EpRet -90.435 	 EpLen 81
Episode 63 	 EpRet -84.690 	 EpLen 112
Episode 64 	 EpRet -83.451 	 EpLen 95
Episode 65 	 EpRet -83.467 	 EpLen 96
Episode 66 	 EpRet -84.547 	 EpLen 115
Episode 67 	 EpRet -84.608 	 EpLen 97
Episode 68 	 EpRet -93.781 	 EpLen 135
Episode 69 	 EpRet -62.661 	 EpLen 153
Episode 70 	 EpRet -96.293 	 EpLen 133
Episode 71 	 EpRet -82.646 	 EpLen 96
Episode 72 	 EpRet -81.751 	 EpLen 100
Episode 73 	 EpRet -77.778 	 EpLen 113
Episode 74 	 EpRet -66.713 	 EpLen 140
Episode 75 	 EpRet -96.143 	 EpLen 132
Episode 76 	 EpRet -66.430 	 EpLen 154
Episode 77 	 EpRet -80.817 	 EpLen 101
Episode 78 	 EpRet -62.488 	 EpLen 141
Episode 79 	 EpRet -84.047 	 EpLen 120
Episode 80 	 EpRet -90.820 	 EpLen 117
Episode 81 	 EpRet -89.545 	 EpLen 117
Episode 82 	 EpRet -69.336 	 EpLen 127
Episode 83 	 EpRet -64.784 	 EpLen 153
Episode 84 	 EpRet -68.396 	 EpLen 149
Episode 85 	 EpRet -89.924 	 EpLen 93
Episode 86 	 EpRet -90.455 	 EpLen 102
