data/sac_auto_baseline_train/sac_auto_500_hc/sac_auto_500_hc_s0
Using deterministic action op.
[32;1mLogging data to /tmp/experiments/1579888946/progress.txt[0m
Episode 0 	 EpRet 272.742 	 EpLen 1271
Episode 1 	 EpRet 15.597 	 EpLen 1600
Episode 2 	 EpRet 271.794 	 EpLen 1276
Episode 3 	 EpRet 269.877 	 EpLen 1323
Episode 4 	 EpRet 273.694 	 EpLen 1282
Episode 5 	 EpRet 271.452 	 EpLen 1325
Episode 6 	 EpRet 265.912 	 EpLen 1315
Episode 7 	 EpRet 264.151 	 EpLen 1354
Episode 8 	 EpRet 270.954 	 EpLen 1276
Episode 9 	 EpRet 274.673 	 EpLen 1264
Episode 10 	 EpRet 276.220 	 EpLen 1212
Episode 11 	 EpRet 270.653 	 EpLen 1282
Episode 12 	 EpRet 280.215 	 EpLen 1203
Episode 13 	 EpRet 274.281 	 EpLen 1262
Episode 14 	 EpRet 267.754 	 EpLen 1337
Episode 15 	 EpRet 274.490 	 EpLen 1266
Episode 16 	 EpRet -16.541 	 EpLen 1600
Episode 17 	 EpRet 269.720 	 EpLen 1310
Episode 18 	 EpRet 274.420 	 EpLen 1263
Episode 19 	 EpRet 274.754 	 EpLen 1254
Episode 20 	 EpRet 267.425 	 EpLen 1363
Episode 21 	 EpRet 205.438 	 EpLen 1600
Episode 22 	 EpRet 272.918 	 EpLen 1292
Episode 23 	 EpRet 273.954 	 EpLen 1252
Episode 24 	 EpRet 268.263 	 EpLen 1321
Episode 25 	 EpRet 263.971 	 EpLen 1368
Episode 26 	 EpRet 275.588 	 EpLen 1249
Episode 27 	 EpRet 275.182 	 EpLen 1247
Episode 28 	 EpRet 231.186 	 EpLen 1600
Episode 29 	 EpRet 264.715 	 EpLen 1370
Episode 30 	 EpRet 273.255 	 EpLen 1275
Episode 31 	 EpRet 270.741 	 EpLen 1288
Episode 32 	 EpRet 268.364 	 EpLen 1306
Episode 33 	 EpRet 273.518 	 EpLen 1278
Episode 34 	 EpRet 276.707 	 EpLen 1228
Episode 35 	 EpRet 277.447 	 EpLen 1210
Episode 36 	 EpRet 268.485 	 EpLen 1327
Episode 37 	 EpRet 268.695 	 EpLen 1313
Episode 38 	 EpRet 271.048 	 EpLen 1307
Episode 39 	 EpRet 274.910 	 EpLen 1231
Episode 40 	 EpRet 276.480 	 EpLen 1245
Episode 41 	 EpRet 268.050 	 EpLen 1319
Episode 42 	 EpRet 272.956 	 EpLen 1279
Episode 43 	 EpRet 268.702 	 EpLen 1313
Episode 44 	 EpRet 269.107 	 EpLen 1337
Episode 45 	 EpRet 277.638 	 EpLen 1235
Episode 46 	 EpRet 274.209 	 EpLen 1247
Episode 47 	 EpRet 271.803 	 EpLen 1292
Episode 48 	 EpRet 274.663 	 EpLen 1237
Episode 49 	 EpRet 267.064 	 EpLen 1294
Episode 50 	 EpRet -39.516 	 EpLen 1600
Episode 51 	 EpRet 272.754 	 EpLen 1285
Episode 52 	 EpRet 275.824 	 EpLen 1244
Episode 53 	 EpRet 272.672 	 EpLen 1279
Episode 54 	 EpRet 277.886 	 EpLen 1225
Episode 55 	 EpRet 270.568 	 EpLen 1340
Episode 56 	 EpRet 273.489 	 EpLen 1261
Episode 57 	 EpRet 172.678 	 EpLen 1600
Episode 58 	 EpRet 277.497 	 EpLen 1240
Episode 59 	 EpRet 270.255 	 EpLen 1303
Episode 60 	 EpRet -36.466 	 EpLen 1600
Episode 61 	 EpRet 265.100 	 EpLen 1334
Episode 62 	 EpRet 273.726 	 EpLen 1250
Episode 63 	 EpRet 267.970 	 EpLen 1324
Episode 64 	 EpRet 269.299 	 EpLen 1380
Episode 65 	 EpRet 230.077 	 EpLen 1600
Episode 66 	 EpRet 269.435 	 EpLen 1310
Episode 67 	 EpRet 276.330 	 EpLen 1241
Episode 68 	 EpRet 266.174 	 EpLen 1335
Episode 69 	 EpRet 264.128 	 EpLen 1363
Episode 70 	 EpRet 270.562 	 EpLen 1277
Episode 71 	 EpRet 270.175 	 EpLen 1286
Episode 72 	 EpRet 272.948 	 EpLen 1297
Episode 73 	 EpRet 265.365 	 EpLen 1353
Episode 74 	 EpRet 273.375 	 EpLen 1268
Episode 75 	 EpRet 268.836 	 EpLen 1335
Episode 76 	 EpRet 265.960 	 EpLen 1359
