data/sac_auto_baseline_train/sac_auto_500_hc/sac_auto_500_hc_s0
Using deterministic action op.
[32;1mLogging data to /tmp/experiments/1579888096/progress.txt[0m
Episode 0 	 EpRet -21.060 	 EpLen 2000
Episode 1 	 EpRet -17.652 	 EpLen 2000
Episode 2 	 EpRet 88.602 	 EpLen 2000
Episode 3 	 EpRet 26.752 	 EpLen 2000
Episode 4 	 EpRet -121.170 	 EpLen 2000
Episode 5 	 EpRet -64.069 	 EpLen 2000
Episode 6 	 EpRet 261.398 	 EpLen 1517
Episode 7 	 EpRet 86.390 	 EpLen 2000
Episode 8 	 EpRet -73.568 	 EpLen 2000
Episode 9 	 EpRet 38.458 	 EpLen 2000
Episode 10 	 EpRet -48.995 	 EpLen 2000
Episode 11 	 EpRet 61.428 	 EpLen 2000
Episode 12 	 EpRet 8.450 	 EpLen 2000
Episode 13 	 EpRet 3.463 	 EpLen 2000
Episode 14 	 EpRet 12.440 	 EpLen 2000
Episode 15 	 EpRet -46.172 	 EpLen 2000
Episode 16 	 EpRet -18.104 	 EpLen 960
Episode 17 	 EpRet -54.894 	 EpLen 479
Episode 18 	 EpRet 17.057 	 EpLen 2000
Episode 19 	 EpRet -101.336 	 EpLen 374
Episode 20 	 EpRet 9.820 	 EpLen 2000
Episode 21 	 EpRet -29.164 	 EpLen 2000
Episode 22 	 EpRet -131.109 	 EpLen 2000
Episode 23 	 EpRet -13.813 	 EpLen 2000
Episode 24 	 EpRet 14.325 	 EpLen 2000
Episode 25 	 EpRet -3.754 	 EpLen 2000
Episode 26 	 EpRet -7.361 	 EpLen 2000
Episode 27 	 EpRet 14.886 	 EpLen 1318
Episode 28 	 EpRet -77.136 	 EpLen 2000
Episode 29 	 EpRet 7.647 	 EpLen 2000
Episode 30 	 EpRet 71.223 	 EpLen 2000
Episode 31 	 EpRet -67.856 	 EpLen 2000
Episode 32 	 EpRet -96.814 	 EpLen 676
Episode 33 	 EpRet -6.653 	 EpLen 2000
Episode 34 	 EpRet -42.768 	 EpLen 2000
Episode 35 	 EpRet -78.918 	 EpLen 2000
Episode 36 	 EpRet 10.125 	 EpLen 2000
Episode 37 	 EpRet 170.945 	 EpLen 2000
Episode 38 	 EpRet -45.928 	 EpLen 2000
Episode 39 	 EpRet -47.479 	 EpLen 2000
Episode 40 	 EpRet -59.650 	 EpLen 2000
Episode 41 	 EpRet 173.815 	 EpLen 2000
Episode 42 	 EpRet -19.626 	 EpLen 2000
Episode 43 	 EpRet -71.684 	 EpLen 2000
Episode 44 	 EpRet -70.212 	 EpLen 273
