Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-77.35899	47.60363	-3.025073	-126.125694	123.275	0.053200956	0.26975968	0.9511518	-0.8745567	5000	9.2029575e-09	2329.4028	-0.018664543	-682.8063	3.6718898	0.0094941165	0.112	79.0	6.706438064575195
1	-72.214264	49.049225	-1.5310291	-128.04318	134.69444	-12.992247	0.35780796	-10.640166	-13.390986	10000	-8.9645384e-09	1336.6125	-0.021947661	-167.26294	3.6964054	0.008656059	0.1164	79.0	12.93874192237854
2	-79.825584	44.675198	-4.722854	-127.99356	124.92308	-18.357779	0.16367845	-16.338835	-18.510216	15000	2.861023e-09	1354.3492	-0.019059302	-181.8197	3.7302694	0.008698595	0.0844	79.0	22.691439151763916
3	-70.102974	47.480618	1.7572924	-121.96182	140.65715	-23.67219	0.11684335	-22.812275	-23.778706	20000	-1.1634826e-08	927.5838	-0.019631617	-55.840576	3.703966	0.0081842635	0.1104	79.0	29.72760009765625
4	-77.56529	46.89553	-2.8726592	-121.368935	118.97619	-26.794977	0.13631117	-25.89922	-26.92285	25000	-2.4986267e-08	1113.159	-0.020467661	-80.81128	3.7062962	0.0071169	0.0976	79.0	38.62473487854004
5	-77.54099	46.37784	0.50833464	-138.46013	123.45	-30.461206	0.26271293	-26.063515	-30.678162	30000	7.1525574e-10	942.4978	-0.021134613	-86.85382	3.7545345	0.009125078	0.0854	79.0	45.48462104797363
6	-88.00976	42.48162	-2.9732969	-133.98698	115.25581	-31.695513	3.8459868	-13.319381	-33.989635	35000	-8.201599e-09	1056.0774	-0.020988874	-171.8252	3.7198355	0.0075716544	0.102	79.0	52.30942702293396
7	-74.03057	45.212322	-6.0992093	-128.89192	135.05405	-30.86149	10.3401985	-3.7766333	-38.824104	40000	2.8800965e-08	650.0048	-0.023590595	-125.166504	3.7382236	0.010306235	0.1224	79.0	58.77534103393555
8	-78.44232	44.097717	-4.560387	-126.337555	124.475	-30.68421	12.64618	-5.110885	-42.092793	45000	1.8692017e-08	688.7454	-0.02146392	-91.770325	3.6559157	0.009612475	0.104	79.0	65.40447402000427
9	-68.18542	49.541904	-3.6435533	-130.97833	143.23529	-29.11313	15.934678	-3.8650832	-45.137314	50000	1.8692017e-08	590.51996	-0.01034626	-109.522705	3.692972	0.017706243	0.2612	11.0	72.23373627662659
10	-56.036358	48.33539	-0.521243	-119.46718	142.5	-22.407953	16.186987	12.268002	-46.93082	55000	-1.4686584e-08	545.0511	-0.0047072945	-143.67764	3.648714	0.014550195	0.2024	3.0	78.87310314178467
11	-40.601757	42.56378	-7.439136	-117.89015	166.31035	-12.119798	14.184289	-3.7848618	-47.974915	60000	1.335144e-09	337.8889	-0.0049930974	-124.66754	3.659797	0.01704754	0.2398	4.0	84.74908518791199
12	-13.460311	3.7944992	-5.933143	-22.81391	200.0	-7.097583	6.654526	4.270027	-48.08177	65000	-3.3378602e-09	40.499855	-0.017921887	-36.22281	3.694123	0.0062892446	0.0976	79.0	91.44471406936646
13	-32.824825	37.252243	-6.05243	-119.53702	178.44444	-6.361343	4.050039	4.059398	-48.089188	70000	-3.7670137e-08	298.5367	-0.01060234	-156.03596	3.614407	0.014850171	0.1634	13.0	97.48132920265198
14	-43.597492	41.942047	-10.808955	-117.94834	162.96666	-12.17115	13.333108	0.31232715	-49.081852	75000	-6.7710877e-09	220.61917	-0.009745042	-51.94374	3.60518	0.015016692	0.1588	14.0	103.59557390213013
15	-32.481888	38.046562	-6.7569747	-117.689224	181.18518	-9.434594	10.57968	7.409334	-50.37858	80000	3.7193297e-09	188.10628	-0.010081854	-43.884872	3.5903344	0.020706346	0.3242	13.0	109.69471788406372
16	-18.417168	17.709324	-8.609007	-101.62421	194.88	-7.5893435	6.3921585	9.979087	-51.220665	85000	-4.196167e-09	29.585985	-0.019526318	-13.79001	3.6151538	0.008300736	0.1098	79.0	116.056715965271
17	-20.922455	23.809315	-7.743876	-104.999084	192.0	-7.6436577	7.657652	7.5605664	-51.476532	90000	7.820129e-09	38.982086	-0.021030115	-7.1897926	3.588361	0.008625331	0.1152	79.0	122.18372392654419
18	-21.20441	24.38962	-10.076333	-107.25071	189.84616	-6.9294634	6.113859	1.7637546	-51.84859	95000	1.4305114e-08	38.163475	-0.020491507	-7.7883625	3.5868876	0.008885362	0.1514	79.0	127.88894200325012
19	-13.945949	3.5776894	-7.548743	-20.907427	200.0	-6.719083	3.6959217	4.3588448	-38.93244	100000	-1.8978119e-08	10.948823	-0.01505773	-8.626562	3.5459778	0.006712984	0.104	79.0	133.57390522956848
20	-24.443909	31.241892	-8.409179	-115.81414	186.92308	-7.0375195	6.537543	4.9413524	-52.326748	105000	-4.2915346e-08	95.84091	-0.019873474	-46.28296	3.5056367	0.010576573	0.1172	79.0	140.1250820159912
21	-13.635397	3.0042136	-9.543171	-19.88318	200.0	-6.205029	2.83907	2.0872474	-34.51278	110000	1.0681152e-08	6.1613674	-0.018192144	-4.2169523	3.538001	0.0064426865	0.086	79.0	146.72009110450745
22	-13.6621	3.4112043	-8.850051	-24.104567	200.0	-5.8089414	2.29772	6.296891	-35.721367	115000	2.4795532e-09	5.5851607	-0.018664476	-2.9621346	3.5176578	0.010298717	0.1378	79.0	153.25517320632935
23	-12.717859	2.9635866	-9.528286	-20.78916	200.0	-5.5389123	0.87430507	-3.6148229	-17.133886	120000	-4.196167e-09	1.3503247	-0.01829426	-0.20374739	3.3975196	0.0068457504	0.1292	79.0	159.99435210227966
24	-11.983046	2.464613	-8.8187275	-18.75261	200.0	-5.4899178	0.63434374	-0.3437143	-14.286062	125000	-2.0217895e-08	1.2438953	-0.005587434	-0.12065017	3.3321853	0.009810637	0.1304	3.0	166.27202987670898
25	-12.731195	2.6389074	-7.9655523	-18.508411	200.0	-5.3358774	0.92946464	-0.0648312	-11.949229	130000	-7.4386595e-09	2.4467843	-0.017092947	-0.3110764	3.3584774	0.007554483	0.0922	79.0	172.3098680973053
26	-11.250152	2.175694	-5.512874	-16.630737	200.0	-5.3425717	0.9093272	1.8612791	-12.4970665	135000	9.918213e-09	1.1907718	-0.020401044	-0.09194994	3.288289	0.0061837602	0.1042	79.0	178.37696814537048
27	-10.994494	1.9991812	-7.5204763	-14.874447	200.0	-5.1917925	0.89469594	4.450513	-10.671944	140000	9.822846e-09	1.1101233	-0.0064515355	-0.1305595	3.2476816	0.013494659	0.1622	3.0	184.29024624824524
28	-9.739367	2.3916733	-5.3490524	-14.323214	200.0	-5.1687064	0.87262064	1.3463234	-9.767985	145000	1.1157989e-08	1.4878678	-0.016307497	-0.3886336	3.2492023	0.0074493918	0.101	79.0	190.79025888442993
29	-14.606842	20.010244	-8.087823	-112.25422	193.8	-4.910886	0.9445434	5.7550883	-10.749982	150000	1.2969971e-08	67.48296	-0.015554017	-6.604126	3.1693068	0.0103819035	0.128	79.0	197.15951991081238
30	-10.651935	2.518269	-5.4691577	-15.808803	200.0	-5.586275	0.9772964	-4.1683197	-14.287606	155000	3.089905e-08	2.7306511	-0.017557662	-0.69066715	3.1794107	0.0031919987	0.0836	79.0	203.825758934021
31	-10.673756	2.396342	-4.495567	-15.433745	200.0	-5.070949	0.6018957	-1.7333627	-9.204478	160000	-3.4332275e-09	1.3372216	-0.016666329	-0.10944283	3.1460931	0.007265132	0.0988	79.0	209.66236424446106
32	-13.5037985	20.352512	-4.7080126	-112.78795	194.08	-4.9425306	0.53332347	-0.60691416	-8.605155	165000	-2.1076202e-08	67.2925	-0.0073768697	-2.0636292	3.102386	0.016343761	0.1976	13.0	215.62729692459106
33	-9.712342	1.6046196	-6.313895	-13.401569	200.0	-5.3298306	0.82508576	-1.4891999	-17.109097	170000	-5.340576e-09	1.6650057	-0.018112272	-0.6088971	3.1075542	0.0065444657	0.1	79.0	222.19989705085754
34	-8.768565	2.4420793	-4.509355	-17.146696	200.0	-4.811142	0.55099726	-1.8959628	-12.696575	175000	-2.8324127e-08	2.0308995	-0.010182928	-0.36079872	3.011041	0.016498098	0.1838	11.0	228.26872897148132
35	-20.251291	32.19951	-3.8493025	-115.81674	185.18518	-4.4279556	0.5463241	-0.7385809	-10.29107	180000	-1.3923645e-08	210.6806	-0.007266774	-10.987198	3.0242703	0.011207916	0.1206	4.0	234.10217690467834
36	-9.453699	2.8196352	-4.0137258	-18.107952	200.0	-6.973311	1.2664728	-6.476041	-26.950687	185000	3.051758e-08	7.427639	-0.01725545	-4.099347	3.00683	0.002459477	0.0732	79.0	240.46978306770325
37	-13.494717	19.454964	-4.368651	-108.26216	194.12	-5.4410024	0.47354335	-2.9311805	-23.96053	190000	8.9645384e-09	62.177395	-0.010541602	-4.087246	2.9573758	0.015903283	0.1626	20.0	246.584153175354
38	-9.62127	1.4116857	-6.760146	-12.2705765	200.0	-5.5181837	1.3454403	-3.8965774	-38.421032	195000	-8.773804e-09	2.6485558	-0.015694873	-1.9307809	2.9467096	0.0041382555	0.0894	79.0	253.257150888443
39	-10.32494	1.8562504	-5.2892494	-16.154678	200.0	-4.887932	0.4560011	-2.652175	-8.036918	200000	-1.2588501e-08	1.2696781	-0.016382007	-0.11085999	2.8481312	0.0059662485	0.0868	79.0	259.870512008667
40	-9.577023	1.0998502	-7.400293	-12.261085	200.0	-4.872803	0.4276037	-3.7522829	-12.634699	205000	8.392334e-09	0.45665678	-0.016771754	-0.096036375	2.7830043	0.0073496825	0.1168	79.0	266.2154459953308
41	-9.242618	1.1675702	-6.3936963	-12.727402	200.0	-4.8153934	0.35479674	-3.3545277	-5.884755	210000	-3.2043456e-08	0.37948883	-0.016164301	-0.056076616	2.6975825	0.004926389	0.0888	79.0	272.5390498638153
42	-8.890576	1.3922203	-3.6456692	-10.293653	200.0	-4.5775447	0.41941884	-3.0949745	-10.472841	215000	9.918213e-09	0.79848933	-0.019212771	-0.103833556	2.6893778	0.0071463594	0.1158	79.0	279.8006830215454
43	-8.701552	1.6300042	-3.6599724	-11.712884	200.0	-4.397889	0.4435092	-2.5516653	-11.901709	220000	7.6293943e-10	1.1435573	-0.009122653	-0.20099461	2.6343086	0.014125465	0.1912	12.0	287.3101170063019
44	-8.507819	1.1480012	-6.3395247	-11.288469	200.0	-4.201426	0.40654317	-2.2312346	-5.5004616	225000	-1.9454957e-08	0.36391798	-0.015629523	-0.03638786	2.6007712	0.008954298	0.1146	79.0	294.0886800289154
45	-8.281052	1.3787029	-4.662874	-9.849023	200.0	-4.087425	0.493036	-2.1361935	-12.059556	230000	1.5163423e-08	0.8762811	-0.014725133	-0.09303385	2.5471296	0.007875662	0.098	79.0	300.63076400756836
46	-8.342832	1.1817257	-5.7878604	-10.026447	200.0	-4.0734572	0.41887265	-2.2209451	-5.6929593	235000	-1.8692017e-08	0.30344516	-0.01594326	-0.02129659	2.4914336	0.00426702	0.0672	79.0	307.0485758781433
47	-8.11651	1.0130515	-5.4920797	-9.785493	200.0	-4.0663548	0.44992924	-2.0837893	-4.869803	240000	1.3351441e-08	0.30791387	-0.019623103	-0.030850917	2.5103016	0.010237065	0.137	79.0	313.41073298454285
48	-8.809997	1.9022906	-3.7215543	-15.743962	200.0	-3.9525766	0.53842694	-1.8453889	-7.897026	245000	-1.2874604e-08	0.7214348	-0.01004046	-0.07323319	2.4861138	0.014827219	0.1412	11.0	319.50715804100037
49	-7.4777336	1.6477334	-3.0931833	-9.363274	200.0	-4.07126	0.35556287	-2.2184246	-5.852554	250000	-1.2969971e-08	0.67552155	-0.0055431756	-0.18557486	2.41927	0.011769078	0.1482	3.0	325.7354941368103
50	-7.6415095	0.83519846	-4.9934473	-8.778605	200.0	-3.8552876	0.494499	-1.7115856	-5.3132153	255000	-1.5258789e-09	0.28068915	-0.015945403	-0.030349702	2.4266672	0.007881421	0.0922	79.0	333.4961898326874
51	-7.345174	1.1735904	-3.5264525	-8.967265	200.0	-3.766925	0.4244737	-1.856958	-5.219411	260000	1.7261506e-08	0.30732828	-0.01936733	-0.039275706	2.3829105	0.010384534	0.147	79.0	342.05514216423035
52	-7.3313704	2.2284915	-1.3869051	-14.685081	200.0	-3.5338488	0.5234705	-1.5754112	-5.9167175	265000	9.536744e-10	0.7484007	-0.0034135634	-0.02401805	2.3196874	0.018072532	0.2798	2.0	349.0601930618286
53	-6.5189147	1.2288394	-3.3245237	-8.924031	200.0	-3.474036	0.42565835	-1.660633	-4.8370132	270000	2.9277802e-08	0.42505524	-0.01788279	-0.10199633	2.3168442	0.010740863	0.1226	79.0	355.2976291179657
54	-6.269751	1.2673378	-2.5108266	-7.8570423	200.0	-3.2503123	0.52367055	-1.3790252	-5.021249	275000	-1.2588501e-08	0.51846457	-0.0039519253	-0.07451525	2.2844574	0.016297396	0.154	2.0	360.8471291065216
55	-5.896554	1.248584	-3.197945	-8.029302	200.0	-3.0720477	0.56080365	-1.1221416	-4.2433596	280000	2.2125244e-08	0.4400657	-0.018127628	-0.12613183	2.3009024	0.010212833	0.121	79.0	367.1237621307373
56	-5.440944	1.8367747	-1.9342833	-8.709328	200.0	-2.924767	0.62316734	0.07959181	-4.2926126	285000	-8.106232e-09	0.44781163	-0.018518185	-0.077896535	2.2131612	0.0069423765	0.0986	79.0	373.98553800582886
57	-5.508405	1.4841657	-2.024122	-8.088913	200.0	-2.704408	0.74373937	0.15758169	-7.5121317	290000	2.0980835e-09	0.53287846	-0.018030493	-0.051626325	2.2142968	0.0070417677	0.098	79.0	380.4625971317291
58	-9.480164	20.941032	-2.0487533	-111.80133	193.84	-2.6307662	0.7807149	0.23903084	-5.504382	295000	1.7642975e-09	66.612114	-0.007147034	-7.601166	2.1938407	0.014917409	0.2036	5.0	386.2630500793457
59	-8.908486	21.518604	-0.04621976	-113.80671	193.84	-3.4876578	2.2446072	-1.2533457	-44.223633	300000	2.861023e-09	64.80045	-0.0058314106	-3.8986092	2.1814513	0.019073272	0.2654	7.0	392.34099102020264
60	-5.3809643	1.5287836	-1.5998696	-7.880373	200.0	-3.1287966	1.7491071	-1.5049291	-45.773846	305000	-3.0517577e-09	3.5989265	-0.013477913	-2.9836416	2.1826007	0.008306828	0.1028	79.0	399.3753409385681
61	-8.930362	20.06331	-0.35035664	-106.72358	193.44	-2.6799955	0.5814413	-1.2457333	-7.9201727	310000	1.5735626e-08	51.152462	-0.0053686793	-5.0884857	2.1092837	0.018613117	0.2956	4.0	404.8488109111786
62	-4.8583226	1.609846	-0.65962696	-7.625093	200.0	-2.942666	1.7078122	-0.33985937	-44.41329	315000	-1.2207031e-08	3.276029	-0.013343662	-2.016563	2.1216223	0.0067461007	0.0808	79.0	411.70198607444763
63	-10.135674	23.80169	-0.5227015	-126.33076	197.16	-2.5152853	0.9220611	0.24997324	-8.646924	320000	-2.9277802e-08	116.48024	-0.0055044224	-14.977158	2.0959032	0.02489707	0.3542	3.0	417.10021018981934
64	-9.717185	21.611767	-2.1331491	-115.38735	194.12	-4.067777	1.0559905	-3.3349807	-42.22555	325000	-1.1444092e-08	65.46809	-0.008642692	-3.4741058	2.1203074	0.01693948	0.1682	22.0	422.5985291004181
65	-5.831084	2.514453	-1.9952503	-16.034208	200.0	-3.655006	0.9659119	-3.3639393	-39.14118	330000	1.5258789e-09	3.191546	-0.014213256	-1.4958547	2.138762	0.0053353114	0.0926	79.0	428.4189450740814
66	-9.526749	22.187801	0.053319458	-117.89309	194.08	-2.9341645	1.3221895	-1.9899979	-44.418983	335000	1.6212464e-08	69.894516	-0.015968332	-3.5728455	2.0383954	0.0052840277	0.1424	79.0	434.15755105018616
67	-5.5283155	1.3149234	-2.440713	-7.6362214	200.0	-3.1416488	0.76077974	-2.461403	-30.63409	340000	-8.392334e-09	2.5128536	-0.014652373	-0.9000292	2.0426633	0.010389474	0.1052	79.0	440.11424827575684
68	-5.7551904	1.2296758	-2.974294	-8.513935	200.0	-2.511818	0.21734264	-1.8311598	-8.6524935	345000	-1.2207031e-08	0.66369563	-0.018263184	-0.029572368	1.9576688	0.0093894685	0.1134	79.0	445.91856622695923
69	-5.3648643	2.7517328	-0.41874057	-15.235313	200.0	-2.5366566	0.21945047	-1.9031982	-10.295317	350000	4.005432e-09	2.113327	-0.015908998	-0.35163403	1.8824393	0.010912154	0.1066	79.0	451.67707324028015
