Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Alpha	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-92.82099	27.098759	-45.65156	-127.04528	-115.28297	0.0	-115.28297	-115.28297	349.07144	84.0	5000	0.8066957	19.319813	11.791944	48.078716	-83.20848	19.32028	11.782663	47.48079	-79.5434	-2.3937857	1.874653	33.583347	-9.498227	-21.553883	9.458179	9.5826235	19.279573917388916
2	-82.971436	29.383877	-45.68304	-115.78008	-105.61873	0.0	-105.61873	-105.61873	443.1	52.0	10000	0.5091934	46.493866	8.245205	76.68634	-91.48889	46.49349	8.234019	78.107574	-91.07338	-2.0874097	1.4164503	13.857007	-9.983736	-48.387974	5.0844593	5.0605264	36.274402141571045
3	-120.512146	25.76392	-102.97172	-182.35977	-46.64343	0.0	-46.64343	-46.64343	201.83333	1000.0	15000	0.3238206	56.37395	14.504002	86.252815	-146.62935	56.367817	14.539545	86.3151	-146.98512	-1.5692663	1.813131	26.717888	-13.317011	-57.859653	4.473636	4.1596065	58.07443022727966
4	-88.749626	29.186539	-43.01555	-131.34027	-134.20915	0.0	-134.20915	-134.20915	515.8182	276.0	20000	0.1938107	51.26666	23.160347	83.1714	-162.08534	51.265873	23.166473	83.085754	-161.60664	-1.0471714	2.4690702	37.745956	-11.429189	-52.323223	2.7929592	2.7332006	82.01987934112549
5	-105.43171	31.573715	-30.207106	-138.1479	-31.075165	0.0	-31.075165	-31.075165	300.0	1000.0	25000	0.117928736	40.563	28.350134	64.482025	-183.86421	40.564346	28.348288	64.197556	-185.13617	-0.2311338	2.8148484	36.078224	-13.327056	-41.38685	2.1548321	2.1677492	102.69601440429688
6	-54.987743	6.0267453	-47.578506	-63.776474	-52.531937	0.0	-52.531937	-52.531937	1000.0	1000.0	30000	0.075082675	30.747543	28.176043	53.335995	-164.35764	30.748787	28.17259	53.7722	-170.15237	0.5641675	3.1697023	39.25288	-12.247819	-31.48265	1.4452832	1.4713564	125.04103350639343
7	-62.04303	27.175459	-40.753395	-119.75304	-26.464937	0.0	-26.464937	-26.464937	849.0	1000.0	35000	0.04631844	23.54122	24.588945	46.346848	-134.83919	23.541382	24.587809	45.63045	-135.50154	1.188032	3.2974236	40.6994	-14.1913395	-24.180332	0.8424844	0.8539856	147.80982112884521
8	-50.46391	10.197724	-39.82852	-62.85183	-71.66225	0.0	-71.66225	-71.66225	1000.0	1000.0	40000	0.029277831	18.549788	21.638433	44.77576	-134.8312	18.549747	21.638273	43.041344	-135.09668	2.2575645	3.6237407	46.140194	-12.161443	-19.150145	0.68834335	0.69269013	170.12664198875427
9	-66.372345	32.31787	-27.653933	-122.09837	-53.453396	0.0	-53.453396	-53.453396	844.1667	1000.0	45000	0.019564021	14.553603	18.765905	40.47252	-134.49513	14.553738	18.76529	40.36722	-133.47997	3.2574923	4.014087	49.45639	-13.665525	-15.136874	0.5325389	0.53866524	192.7113072872162
10	-70.37526	56.782036	-19.369112	-180.99167	-0.8224395	0.0	-0.8224395	-0.8224395	963.2	1000.0	50000	0.015766764	11.277408	16.717829	34.912945	-131.43059	11.2771225	16.717667	35.776196	-130.64824	4.012958	4.2849417	51.588814	-11.480295	-11.810036	0.7019134	0.70133317	214.4168770313263
