Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Alpha	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-97.26021	24.56942	-46.69156	-121.516235	-123.395996	0.0	-123.395996	-123.395996	250.9375	93.0	5000	0.84077525	14.369389	9.459182	40.393322	-76.72059	14.382338	9.439551	41.157192	-77.01762	-2.4077733	2.0727084	34.795853	-9.987301	-16.59581	10.4545145	10.458441	16.74933409690857
2	-95.83278	23.813604	-45.419765	-128.1819	-34.6611	0.0	-34.6611	-34.6611	256.7619	1000.0	10000	0.5320594	41.33908	10.433596	71.35452	-126.025764	41.33382	10.429125	71.59389	-126.64497	-2.1946442	1.1385359	11.358218	-11.065703	-43.266476	10.243292	10.3573675	37.889408588409424
3	-94.69935	27.9944	-57.451527	-134.177	-53.788322	0.0	-53.788322	-53.788322	575.3333	1000.0	15000	0.31666678	51.89716	14.328934	86.77509	-161.47359	51.894928	14.3363495	86.37634	-167.1066	-1.5511501	1.8953315	18.250034	-11.095989	-53.39071	4.2297153	4.1334696	60.801873207092285
4	-80.20108	25.438581	-58.018818	-118.43015	-114.41395	0.0	-114.41395	-114.41395	652.375	42.0	20000	0.19028161	49.901962	18.462166	88.58474	-157.38606	49.902046	18.459263	88.969955	-161.11087	-1.0056965	2.1334138	20.516228	-14.828343	-50.96366	1.5216525	1.4639348	83.07683968544006
5	-87.59644	33.044197	-49.36419	-128.8852	-39.862007	0.0	-39.862007	-39.862007	610.0	1000.0	25000	0.12010787	45.16841	19.921741	87.66325	-260.657	45.167492	19.924301	86.460304	-239.71013	-0.041220523	2.5276277	33.494377	-12.186601	-46.077805	1.3311442	1.2489697	103.07143497467041
6	-97.599365	23.209858	-55.053345	-122.9215	-55.560863	0.0	-55.560863	-55.560863	397.57144	1000.0	30000	0.07604024	39.033962	20.865536	71.00341	-282.86533	39.0336	20.871443	71.255486	-269.03992	0.910379	3.0210845	45.43041	-12.087274	-39.87506	1.4358002	1.3639399	127.52945303916931
7	-66.13114	27.729572	-37.810287	-125.2889	-47.37529	0.0	-47.37529	-47.37529	843.8333	1000.0	35000	0.046294354	33.817867	20.44504	76.71376	-194.08368	33.816906	20.447533	78.824455	-192.38278	1.9422306	3.6663454	50.647354	-13.22311	-34.601692	1.156227	1.0914848	150.2705066204071
8	-120.245476	18.986872	-47.92371	-131.26118	-122.520676	0.0	-122.520676	-122.520676	174.86667	67.0	40000	0.031568676	32.31766	19.237911	59.855957	-186.39417	32.31817	19.23652	60.70704	-197.35703	3.4014986	3.78492	52.783375	-11.430306	-33.222874	1.0963049	1.0976233	172.90954637527466
9	-116.01681	24.065102	-48.85688	-139.11807	-102.73444	0.0	-102.73444	-102.73444	246.83333	486.0	45000	0.024292877	28.697947	23.644897	51.554024	-164.47264	28.69855	23.64449	50.950413	-169.17725	3.522917	4.7865744	50.242546	-13.806593	-29.479465	1.1378169	1.1294038	193.24004316329956
10	-107.05762	35.174538	-39.630856	-139.53091	-46.05082	0.0	-46.05082	-46.05082	538.55554	1000.0	50000	0.018876271	21.932743	24.994839	46.118427	-134.50246	21.933464	24.994167	46.735565	-135.19983	3.8944578	4.821732	56.055332	-11.593497	-22.648352	1.1196572	1.1193918	215.41318202018738
11	-68.298645	26.787628	-43.809853	-112.47926	-82.00615	0.0	-82.00615	-82.00615	739.1429	1000.0	55000	0.019456828	17.628931	24.20374	36.09901	-125.072815	17.629095	24.203228	36.761814	-124.81294	4.026703	4.967252	50.573414	-13.409525	-18.42943	1.0020281	0.99352455	238.64801216125488
12	-42.271744	5.098306	-34.796246	-50.161007	-23.838243	0.0	-23.838243	-23.838243	1000.0	1000.0	60000	0.016497204	15.689936	22.265585	40.192528	-128.66669	15.689814	22.2648	39.468544	-129.24443	3.6920817	4.6930804	50.40416	-11.806279	-16.44179	0.7903643	0.77509826	261.2328152656555
13	-78.97338	26.865479	-42.41656	-124.34328	-61.458042	0.0	-61.458042	-61.458042	847.5	1000.0	65000	0.013708426	14.170829	21.72213	46.081055	-128.13007	14.170814	21.721945	43.275227	-128.16772	3.8600416	4.594157	48.701176	-13.637716	-14.854326	0.66605407	0.6569459	284.34759402275085
14	-49.742622	8.718538	-40.105915	-60.721466	-47.64925	0.0	-47.64925	-47.64925	1000.0	1000.0	70000	0.011250718	12.731412	21.210377	42.021255	-126.87394	12.731012	21.210915	40.39833	-125.7371	3.8398283	4.4219484	45.261776	-11.757792	-13.3468485	0.6177864	0.613237	307.1055316925049
15	-50.64068	4.5013704	-45.21648	-58.581734	-47.833595	0.0	-47.833595	-47.833595	1000.0	1000.0	75000	0.010343691	10.422278	19.460316	34.649162	-123.78047	10.422247	19.460388	35.64551	-123.54318	3.8973973	4.3860483	45.77894	-12.626019	-10.951904	0.5285463	0.51603323	329.8434488773346
16	-50.72763	3.814854	-45.38994	-56.133904	-25.417065	0.0	-25.417065	-25.417065	1000.0	1000.0	80000	0.008769533	7.8907266	17.182493	30.22222	-121.340355	7.8908014	17.183504	30.408073	-121.88837	3.8591805	4.173192	44.097794	-12.932252	-8.362082	0.4644598	0.45042548	352.7193808555603
17	-57.558784	34.726597	-28.580067	-119.38832	-59.11157	0.0	-59.11157	-59.11157	736.7143	1000.0	85000	0.007899334	5.644523	15.310847	24.979963	-121.59096	5.644494	15.31197	25.665583	-122.11315	3.929412	3.8285618	43.737633	-12.114895	-6.066185	0.34549809	0.3374752	376.0063531398773
18	-68.58273	36.94667	-33.475662	-124.016594	-25.094408	0.0	-25.094408	-25.094408	666.75	1000.0	90000	0.0071740164	3.3090196	14.160765	20.238865	-121.42344	3.3091483	14.161197	20.288538	-121.10556	3.9704437	3.7286112	45.842022	-12.0921135	-3.6787903	0.3055849	0.29619265	399.9977478981018
19	-101.10369	30.94581	-26.47885	-136.28468	-69.360115	0.0	-69.360115	-69.360115	312.35715	1000.0	95000	0.0072515835	1.0402606	14.603049	18.054502	-125.43293	1.0404402	14.604093	17.891312	-125.51677	4.0205984	3.7263017	47.472393	-14.762714	-1.3963337	0.33245856	0.3258537	420.8863182067871
20	-67.202324	30.665833	-36.297867	-127.442696	-126.6089	0.0	-126.6089	-126.6089	849.1667	103.0	100000	0.007372818	-0.5164876	14.897327	14.17715	-128.35797	-0.5162246	14.896684	14.69546	-127.57588	3.9886363	4.0017223	46.90936	-13.3900795	0.13483138	0.38274625	0.38026488	443.26843333244324
