Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-89.6604	28.954165	-40.24459	-118.18085	-115.89838	0.098529905	-115.703094	-116.020004	366.23077	1000.0	5000	0.26346454	4.430674	51.786343	-123.45329	0.26751906	4.311677	58.054092	-123.98461	-0.96228564	9.617663	37.03640604019165
2	-84.98024	28.507715	-46.442966	-116.19195	-116.214294	0.08472583	-116.05576	-116.318306	491.8889	1000.0	10000	16.705063	17.595913	185.08163	-161.11465	16.705616	17.58798	185.69818	-141.37617	-20.655798	6.8598323	71.62579107284546
3	-115.77657	16.484892	-71.570114	-153.82271	-120.40692	2.4020882	-115.73857	-125.214134	289.0	70.7	15000	51.004555	32.774544	310.02606	-509.15997	51.005623	32.775055	322.55646	-487.809	-54.51922	30.381964	107.20902299880981
4	-118.90098	3.6905286	-109.78574	-123.37005	-119.40187	0.023448462	-119.38041	-119.44715	41.808334	41.0	20000	77.732376	75.58851	303.70258	-279.00363	77.731895	75.58273	310.29504	-282.5005	-82.718575	51.775482	138.4904749393463
5	-112.404785	8.27163	-96.37902	-146.6298	-143.1746	6.637821	-136.75063	-158.44414	73.44118	287.8	25000	84.16476	96.581314	336.0241	-175.92287	84.16254	96.57357	331.66183	-179.46684	-91.519066	73.71989	171.6497049331665
6	-104.66286	13.184441	-92.50228	-165.87202	-100.44984	59.16866	-34.046886	-164.04002	125.828575	793.0	30000	109.972885	103.31397	342.0506	-148.06302	109.97387	103.304504	340.87405	-138.07373	-118.354385	100.1893	206.11603593826294
7	-109.928154	28.926723	-67.51743	-178.11649	-110.98415	7.753631	-94.259636	-121.924416	355.0	164.4	35000	130.41768	102.55562	363.30753	-159.67915	130.41888	102.55077	368.96103	-141.3587	-139.13715	108.418	238.90669894218445
8	-85.34874	31.716215	-30.164627	-116.4192	-97.16081	22.70183	-29.152216	-107.06326	562.4	178.4	40000	137.69624	96.33769	351.0662	-179.83244	137.69504	96.339264	355.2957	-181.07164	-144.94221	84.69067	274.1435110569
9	-116.29907	20.495667	-51.377003	-142.7491	-47.143475	13.892913	-23.09915	-66.17935	223.0	1000.0	45000	133.02151	92.64593	292.71634	-454.0503	133.02502	92.63957	305.24054	-446.24136	-139.38359	77.502846	310.04763197898865
10	-103.43955	47.60462	-3.1144152	-164.26527	-139.61522	26.447874	-71.26407	-171.30063	446.33334	407.4	50000	122.72246	90.473755	311.04913	-351.0195	122.72825	90.46458	313.50848	-320.9787	-128.49329	70.97378	346.2326490879059
