Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-87.18951	26.966745	-49.976185	-116.227844	-112.98899	1.3185343	-109.118546	-113.732025	441.7	55.9	5000	2.0194428	4.7227516	18.612646	-138.47734	2.0213766	4.6779695	18.976557	-121.645935	-2.8420641	9.504499	27.60454773902893
2	-80.41552	22.831264	-48.36771	-108.11948	-122.61355	6.1762557	-117.54287	-130.65933	495.36365	64.9	10000	4.5309443	4.2493124	18.268343	-152.40009	4.531118	4.243851	20.689028	-139.1345	-5.046908	1.5166293	60.58528780937195
3	-108.24701	11.274434	-91.28663	-144.1112	-118.85948	15.544489	-80.225555	-136.80931	221.94737	381.6	15000	3.546197	10.651287	16.021929	-502.51987	3.5461028	10.658737	16.09788	-508.48755	-3.8632667	10.816983	90.9329617023468
4	-102.942184	14.113149	-66.77368	-126.71017	-107.42229	13.904153	-69.84953	-117.76456	218.88889	258.0	20000	3.2747283	11.414912	15.45345	-322.41272	3.274991	11.415229	15.555525	-325.82248	-3.9673073	6.23527	129.37136793136597
5	-106.74379	7.7847857	-97.622955	-143.94882	-104.29795	12.342466	-97.05753	-140.5663	75.07576	189.9	25000	-0.014156952	17.992878	15.7304125	-190.01587	-0.01462906	17.99375	15.69422	-189.61938	-0.5666956	3.3766146	161.9025149345398
6	-105.18613	16.42702	-69.06271	-134.76192	-119.28196	5.295271	-112.36782	-125.9454	297.1875	66.6	30000	-4.447491	23.99675	15.69386	-181.5678	-4.4475327	23.996466	15.171842	-173.67603	3.6192808	3.2591965	192.06877398490906
7	-105.30755	21.676012	-76.57781	-131.12753	-131.02171	12.524654	-113.61995	-151.03935	556.3333	333.4	35000	-5.4922276	24.877293	13.01062	-197.35335	-5.4925723	24.877638	13.213234	-195.3252	4.6184926	3.5110183	226.20958495140076
8	-120.20492	27.114462	-54.55028	-186.0091	-124.06604	7.42967	-110.105545	-135.18391	283.75	170.5	40000	-6.101805	24.399544	11.404766	-131.7028	-6.101909	24.399487	11.331979	-130.7208	5.268733	3.3552365	256.5192608833313
9	-109.59197	18.613838	-60.043392	-130.61952	-126.187416	14.320394	-84.143105	-136.36665	223.56	252.8	45000	-6.992666	24.809996	11.633495	-196.0301	-6.9929757	24.811317	11.233729	-192.35268	6.069548	3.5296278	292.8685119152069
10	-113.01925	34.320324	-57.2518	-167.0033	-88.83211	2.4430077	-84.68322	-92.556625	507.1	1000.0	50000	-8.229121	25.678925	10.884529	-173.88672	-8.229282	25.680937	10.774163	-169.50145	7.2169256	4.198065	334.6782867908478
11	-102.90559	19.69885	-75.69415	-134.38211	-84.289955	14.603423	-72.3927	-126.41987	694.2857	909.8	55000	-8.4152775	23.937128	10.93007	-135.50198	-8.41508	23.9389	10.889814	-134.76262	7.503301	3.7329242	373.7616448402405
12	-82.393776	27.07224	-45.83911	-135.65244	-78.87501	23.573856	-49.363407	-104.490906	849.6667	645.8	60000	-8.037142	23.20671	13.654853	-119.808365	-8.037325	23.206768	13.179746	-120.254105	7.1622295	3.0274904	411.43754506111145
13	-76.2523	28.155687	-29.228674	-104.73472	-86.7039	16.257675	-63.29875	-125.62465	792.5	911.7	65000	-7.656362	22.864803	13.905307	-119.591194	-7.65648	22.865162	14.635328	-119.2572	6.8480396	2.7400377	450.21190190315247
14	-88.370895	24.414152	-42.78441	-107.58508	-107.04407	1.1858581	-104.72064	-108.409454	597.25	71.3	70000	-7.5339775	22.320312	14.497822	-117.9263	-7.534078	22.320122	13.494426	-119.29764	6.781142	2.5028806	481.28282594680786
15	-91.62849	25.755093	-59.431713	-136.81567	-91.70791	27.55949	-65.515686	-171.80695	724.5714	999.3	75000	-7.6988378	22.100267	14.988264	-119.27514	-7.698912	22.100212	14.079247	-117.49947	6.982294	2.4877853	522.3309998512268
16	-54.916504	12.852997	-46.784977	-80.52855	-80.09582	25.165054	-36.09651	-125.509514	1000.0	856.9	80000	-8.257872	21.588501	12.554304	-121.8927	-8.257748	21.589113	12.061636	-119.22961	7.614708	2.340558	562.0730218887329
17	-68.553474	32.62922	-36.437714	-122.34058	-66.43169	43.63504	-30.210997	-165.01443	756.6667	877.0	85000	-8.47285	20.61278	10.819409	-122.57434	-8.472764	20.613144	11.839955	-119.65135	7.7701335	2.1481032	599.6067698001862
18	-68.123695	29.24321	-41.594265	-126.45715	-24.026638	1.9340566	-19.459515	-26.48937	860.5	1000.0	90000	-8.673452	19.870054	7.9903374	-120.29158	-8.673382	19.870058	8.526715	-120.48496	8.095825	1.8867259	642.0853009223938
